Ô»Õ_p,,,,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,,,,,,
ì¥»___ï,,,,5175,130,60,10600,250,110,5315,110,50,10475,300,105,940,310,290,1935,60,50,8685,195,90,50,,,,,,
609(nm),,,,7.28E-06,3.32E-04,6.55E-04,2.42E-06,1.21E-04,4.26E-04,2.45E-06,1.70E-04,5.10E-04,7.07E-06,3.49E-04,7.04E-04,2.89E-06,2.84E-04,6.33E-04,1.65E-05,6.22E-04,9.00E-04,2.03E-05,9.44E-04,1.31E-03,1.00E-03,,,,,,
610(nm),,,,7.15E-06,3.26E-04,6.44E-04,2.33E-06,1.17E-04,4.16E-04,2.37E-06,1.65E-04,5.00E-04,6.94E-06,3.42E-04,6.93E-04,2.84E-06,2.80E-04,6.24E-04,1.64E-05,6.16E-04,8.86E-04,2.01E-05,9.35E-04,1.30E-03,9.87E-04,,,,,,
611(nm),,,,7.02E-06,3.20E-04,6.33E-04,2.24E-06,1.12E-04,4.05E-04,2.28E-06,1.61E-04,4.87E-04,6.80E-06,3.35E-04,6.79E-04,2.80E-06,2.74E-04,6.12E-04,1.62E-05,6.09E-04,8.74E-04,1.98E-05,9.23E-04,1.28E-03,9.68E-04,,,,,,
612(nm),,,,6.88E-06,3.15E-04,6.19E-04,2.18E-06,1.08E-04,3.95E-04,2.20E-06,1.55E-04,4.78E-04,6.68E-06,3.30E-04,6.70E-04,2.71E-06,2.68E-04,6.00E-04,1.59E-05,6.00E-04,8.62E-04,1.96E-05,9.13E-04,1.26E-03,9.51E-04,,,,,,
613(nm),,,,6.78E-06,3.09E-04,6.10E-04,2.12E-06,1.04E-04,3.86E-04,2.14E-06,1.51E-04,4.69E-04,6.56E-06,3.24E-04,6.55E-04,2.69E-06,2.64E-04,5.93E-04,1.58E-05,5.93E-04,8.50E-04,1.94E-05,9.03E-04,1.25E-03,9.37E-04,,,,,,
614(nm),,,,6.68E-06,3.05E-04,6.02E-04,2.05E-06,1.01E-04,3.80E-04,2.09E-06,1.48E-04,4.61E-04,6.46E-06,3.20E-04,6.48E-04,2.66E-06,2.60E-04,5.84E-04,1.56E-05,5.87E-04,8.39E-04,1.92E-05,8.95E-04,1.24E-03,9.24E-04,,,,,,
615(nm),,,,6.58E-06,3.01E-04,5.95E-04,2.02E-06,9.84E-05,3.73E-04,2.04E-06,1.45E-04,4.54E-04,6.39E-06,3.16E-04,6.40E-04,2.63E-06,2.56E-04,5.78E-04,1.55E-05,5.81E-04,8.30E-04,1.91E-05,8.89E-04,1.23E-03,9.15E-04,,,,,,
616(nm),,,,6.53E-06,2.98E-04,5.89E-04,1.98E-06,9.62E-05,3.67E-04,2.01E-06,1.43E-04,4.48E-04,6.33E-06,3.13E-04,6.33E-04,2.63E-06,2.54E-04,5.73E-04,1.54E-05,5.78E-04,8.24E-04,1.89E-05,8.84E-04,1.22E-03,9.04E-04,,,,,,
617(nm),,,,6.48E-06,2.97E-04,5.82E-04,1.95E-06,9.40E-05,3.62E-04,1.98E-06,1.40E-04,4.43E-04,6.26E-06,3.10E-04,6.27E-04,2.60E-06,2.52E-04,5.67E-04,1.53E-05,5.73E-04,8.18E-04,1.89E-05,8.79E-04,1.21E-03,8.95E-04,,,,,,
618(nm),,,,6.44E-06,2.93E-04,5.76E-04,1.91E-06,9.23E-05,3.57E-04,1.94E-06,1.38E-04,4.39E-04,6.20E-06,3.06E-04,6.21E-04,2.57E-06,2.48E-04,5.63E-04,1.52E-05,5.68E-04,8.09E-04,1.87E-05,8.71E-04,1.20E-03,8.84E-04,,,,,,
619(nm),,,,6.35E-06,2.88E-04,5.69E-04,1.87E-06,9.00E-05,3.52E-04,1.90E-06,1.36E-04,4.32E-04,6.13E-06,3.03E-04,6.14E-04,2.57E-06,2.46E-04,5.53E-04,1.51E-05,5.63E-04,8.00E-04,1.85E-05,8.64E-04,1.18E-03,8.74E-04,,,,,,
620(nm),,,,6.26E-06,2.86E-04,5.60E-04,1.83E-06,8.83E-05,3.45E-04,1.86E-06,1.33E-04,4.25E-04,6.03E-06,2.98E-04,6.04E-04,2.51E-06,2.42E-04,5.47E-04,1.49E-05,5.57E-04,7.89E-04,1.83E-05,8.51E-04,1.17E-03,8.62E-04,,,,,,
621(nm),,,,6.14E-06,2.81E-04,5.53E-04,1.79E-06,8.63E-05,3.40E-04,1.82E-06,1.31E-04,4.17E-04,5.94E-06,2.94E-04,5.93E-04,2.47E-06,2.40E-04,5.37E-04,1.47E-05,5.48E-04,7.78E-04,1.80E-05,8.40E-04,1.15E-03,8.49E-04,,,,,,
622(nm),,,,6.04E-06,2.76E-04,5.43E-04,1.74E-06,8.45E-05,3.33E-04,1.76E-06,1.29E-04,4.10E-04,5.83E-06,2.90E-04,5.84E-04,2.41E-06,2.36E-04,5.27E-04,1.45E-05,5.39E-04,7.66E-04,1.78E-05,8.26E-04,1.13E-03,8.33E-04,,,,,,
623(nm),,,,5.92E-06,2.71E-04,5.32E-04,1.70E-06,8.24E-05,3.27E-04,1.71E-06,1.26E-04,4.02E-04,5.72E-06,2.85E-04,5.74E-04,2.36E-06,2.31E-04,5.18E-04,1.42E-05,5.30E-04,7.51E-04,1.75E-05,8.12E-04,1.12E-03,8.20E-04,,,,,,
624(nm),,,,5.80E-06,2.65E-04,5.23E-04,1.66E-06,8.03E-05,3.21E-04,1.69E-06,1.23E-04,3.95E-04,5.61E-06,2.79E-04,5.63E-04,2.33E-06,2.28E-04,5.10E-04,1.40E-05,5.22E-04,7.37E-04,1.71E-05,7.99E-04,1.10E-03,8.06E-04,,,,,,
625(nm),,,,5.72E-06,2.61E-04,5.13E-04,1.62E-06,7.88E-05,3.15E-04,1.65E-06,1.21E-04,3.89E-04,5.52E-06,2.75E-04,5.53E-04,2.27E-06,2.22E-04,5.01E-04,1.37E-05,5.15E-04,7.28E-04,1.69E-05,7.88E-04,1.08E-03,7.93E-04,,,,,,
626(nm),,,,5.61E-06,2.57E-04,5.05E-04,1.59E-06,7.69E-05,3.10E-04,1.62E-06,1.18E-04,3.82E-04,5.41E-06,2.69E-04,5.44E-04,2.28E-06,2.19E-04,4.92E-04,1.35E-05,5.05E-04,7.16E-04,1.66E-05,7.74E-04,1.06E-03,7.78E-04,,,,,,
627(nm),,,,5.52E-06,2.53E-04,4.98E-04,1.56E-06,7.58E-05,3.04E-04,1.59E-06,1.16E-04,3.75E-04,5.32E-06,2.65E-04,5.35E-04,2.23E-06,2.17E-04,4.83E-04,1.33E-05,4.98E-04,7.06E-04,1.63E-05,7.63E-04,1.05E-03,7.66E-04,,,,,,
628(nm),,,,5.45E-06,2.49E-04,4.89E-04,1.53E-06,7.45E-05,2.99E-04,1.56E-06,1.15E-04,3.70E-04,5.24E-06,2.61E-04,5.26E-04,2.19E-06,2.14E-04,4.78E-04,1.31E-05,4.90E-04,6.95E-04,1.61E-05,7.51E-04,1.03E-03,7.54E-04,,,,,,
629(nm),,,,5.36E-06,2.44E-04,4.82E-04,1.51E-06,7.31E-05,2.94E-04,1.52E-06,1.13E-04,3.64E-04,5.15E-06,2.57E-04,5.18E-04,2.15E-06,2.11E-04,4.69E-04,1.29E-05,4.82E-04,6.83E-04,1.58E-05,7.39E-04,1.02E-03,7.43E-04,,,,,,
630(nm),,,,5.26E-06,2.41E-04,4.75E-04,1.47E-06,7.17E-05,2.89E-04,1.49E-06,1.11E-04,3.58E-04,5.08E-06,2.52E-04,5.11E-04,2.13E-06,2.06E-04,4.60E-04,1.27E-05,4.74E-04,6.72E-04,1.56E-05,7.25E-04,1.00E-03,7.31E-04,,,,,,
631(nm),,,,5.16E-06,2.35E-04,4.65E-04,1.44E-06,7.01E-05,2.83E-04,1.45E-06,1.09E-04,3.51E-04,4.98E-06,2.47E-04,4.99E-04,2.10E-06,2.04E-04,4.55E-04,1.25E-05,4.65E-04,6.58E-04,1.52E-05,7.12E-04,9.80E-04,7.17E-04,,,,,,
632(nm),,,,5.06E-06,2.32E-04,4.57E-04,1.41E-06,6.87E-05,2.78E-04,1.42E-06,1.07E-04,3.43E-04,4.88E-06,2.43E-04,4.91E-04,2.04E-06,1.99E-04,4.45E-04,1.22E-05,4.58E-04,6.47E-04,1.50E-05,6.99E-04,9.64E-04,7.04E-04,,,,,,
633(nm),,,,4.97E-06,2.28E-04,4.49E-04,1.39E-06,6.79E-05,2.73E-04,1.41E-06,1.05E-04,3.38E-04,4.79E-06,2.38E-04,4.82E-04,2.01E-06,1.95E-04,4.37E-04,1.20E-05,4.50E-04,6.35E-04,1.47E-05,6.86E-04,9.47E-04,6.91E-04,,,,,,
634(nm),,,,4.86E-06,2.24E-04,4.40E-04,1.35E-06,6.63E-05,2.68E-04,1.37E-06,1.03E-04,3.32E-04,4.69E-06,2.34E-04,4.74E-04,1.97E-06,1.91E-04,4.28E-04,1.18E-05,4.41E-04,6.24E-04,1.44E-05,6.74E-04,9.29E-04,6.77E-04,,,,,,
635(nm),,,,4.77E-06,2.20E-04,4.33E-04,1.33E-06,6.52E-05,2.63E-04,1.34E-06,1.01E-04,3.27E-04,4.61E-06,2.30E-04,4.66E-04,1.92E-06,1.89E-04,4.21E-04,1.16E-05,4.33E-04,6.12E-04,1.42E-05,6.61E-04,9.13E-04,6.67E-04,,,,,,
636(nm),,,,4.70E-06,2.17E-04,4.26E-04,1.30E-06,6.40E-05,2.60E-04,1.33E-06,9.95E-05,3.21E-04,4.53E-06,2.26E-04,4.59E-04,1.91E-06,1.86E-04,4.15E-04,1.14E-05,4.27E-04,6.03E-04,1.39E-05,6.50E-04,8.98E-04,6.54E-04,,,,,,
637(nm),,,,4.63E-06,2.14E-04,4.21E-04,1.28E-06,6.31E-05,2.55E-04,1.31E-06,9.83E-05,3.16E-04,4.46E-06,2.22E-04,4.52E-04,1.89E-06,1.85E-04,4.09E-04,1.12E-05,4.21E-04,5.94E-04,1.37E-05,6.41E-04,8.84E-04,6.47E-04,,,,,,
638(nm),,,,4.55E-06,2.10E-04,4.13E-04,1.26E-06,6.23E-05,2.51E-04,1.29E-06,9.65E-05,3.11E-04,4.39E-06,2.20E-04,4.46E-04,1.88E-06,1.82E-04,4.07E-04,1.11E-05,4.13E-04,5.87E-04,1.35E-05,6.32E-04,8.71E-04,6.36E-04,,,,,,
639(nm),,,,4.50E-06,2.08E-04,4.09E-04,1.25E-06,6.11E-05,2.48E-04,1.26E-06,9.52E-05,3.08E-04,4.34E-06,2.16E-04,4.39E-04,1.84E-06,1.79E-04,3.96E-04,1.09E-05,4.09E-04,5.78E-04,1.33E-05,6.24E-04,8.60E-04,6.28E-04,,,,,,
640(nm),,,,4.43E-06,2.04E-04,4.03E-04,1.23E-06,6.03E-05,2.45E-04,1.25E-06,9.40E-05,3.03E-04,4.28E-06,2.13E-04,4.33E-04,1.82E-06,1.77E-04,3.92E-04,1.08E-05,4.05E-04,5.70E-04,1.32E-05,6.16E-04,8.50E-04,6.17E-04,,,,,,
641(nm),,,,4.36E-06,2.01E-04,3.97E-04,1.21E-06,5.95E-05,2.41E-04,1.23E-06,9.21E-05,2.99E-04,4.21E-06,2.10E-04,4.27E-04,1.80E-06,1.74E-04,3.86E-04,1.06E-05,3.96E-04,5.63E-04,1.30E-05,6.07E-04,8.36E-04,6.09E-04,,,,,,
642(nm),,,,4.29E-06,1.98E-04,3.92E-04,1.18E-06,5.86E-05,2.37E-04,1.20E-06,9.07E-05,2.95E-04,4.14E-06,2.07E-04,4.19E-04,1.79E-06,1.69E-04,3.83E-04,1.04E-05,3.92E-04,5.55E-04,1.28E-05,5.97E-04,8.23E-04,6.01E-04,,,,,,
643(nm),,,,4.21E-06,1.95E-04,3.83E-04,1.16E-06,5.76E-05,2.33E-04,1.19E-06,8.93E-05,2.89E-04,4.08E-06,2.03E-04,4.14E-04,1.76E-06,1.67E-04,3.74E-04,1.03E-05,3.84E-04,5.44E-04,1.25E-05,5.88E-04,8.10E-04,5.91E-04,,,,,,
644(nm),,,,4.13E-06,1.92E-04,3.78E-04,1.13E-06,5.62E-05,2.29E-04,1.16E-06,8.83E-05,2.84E-04,3.98E-06,2.00E-04,4.06E-04,1.71E-06,1.64E-04,3.70E-04,1.01E-05,3.79E-04,5.35E-04,1.23E-05,5.78E-04,7.96E-04,5.81E-04,,,,,,
645(nm),,,,4.05E-06,1.88E-04,3.69E-04,1.11E-06,5.53E-05,2.25E-04,1.13E-06,8.61E-05,2.79E-04,3.92E-06,1.97E-04,3.99E-04,1.68E-06,1.62E-04,3.63E-04,9.89E-06,3.70E-04,5.25E-04,1.21E-05,5.66E-04,7.80E-04,5.71E-04,,,,,,
646(nm),,,,3.98E-06,1.85E-04,3.64E-04,1.09E-06,5.40E-05,2.21E-04,1.11E-06,8.46E-05,2.73E-04,3.84E-06,1.93E-04,3.91E-04,1.64E-06,1.59E-04,3.55E-04,9.68E-06,3.64E-04,5.15E-04,1.19E-05,5.55E-04,7.66E-04,5.61E-04,,,,,,
647(nm),,,,3.92E-06,1.81E-04,3.56E-04,1.07E-06,5.30E-05,2.16E-04,1.08E-06,8.31E-05,2.68E-04,3.75E-06,1.89E-04,3.83E-04,1.61E-06,1.57E-04,3.47E-04,9.48E-06,3.57E-04,5.05E-04,1.16E-05,5.45E-04,7.49E-04,5.49E-04,,,,,,
648(nm),,,,3.82E-06,1.77E-04,3.50E-04,1.04E-06,5.22E-05,2.12E-04,1.06E-06,8.15E-05,2.64E-04,3.68E-06,1.85E-04,3.75E-04,1.62E-06,1.52E-04,3.41E-04,9.33E-06,3.48E-04,4.97E-04,1.14E-05,5.34E-04,7.35E-04,5.40E-04,,,,,,
649(nm),,,,3.75E-06,1.73E-04,3.42E-04,1.01E-06,5.14E-05,2.08E-04,1.04E-06,8.01E-05,2.59E-04,3.60E-06,1.81E-04,3.68E-04,1.58E-06,1.49E-04,3.33E-04,9.14E-06,3.43E-04,4.86E-04,1.12E-05,5.24E-04,7.19E-04,5.28E-04,,,,,,
650(nm),,,,3.68E-06,1.70E-04,3.35E-04,9.96E-07,5.01E-05,2.04E-04,1.02E-06,7.86E-05,2.53E-04,3.53E-06,1.78E-04,3.60E-04,1.53E-06,1.48E-04,3.28E-04,8.98E-06,3.36E-04,4.76E-04,1.09E-05,5.13E-04,7.05E-04,5.18E-04,,,,,,
651(nm),,,,3.61E-06,1.67E-04,3.28E-04,9.82E-07,4.90E-05,1.99E-04,1.00E-06,7.66E-05,2.48E-04,3.47E-06,1.74E-04,3.53E-04,1.50E-06,1.45E-04,3.23E-04,8.77E-06,3.30E-04,4.65E-04,1.07E-05,5.03E-04,6.91E-04,5.07E-04,,,,,,
652(nm),,,,3.55E-06,1.64E-04,3.23E-04,9.63E-07,4.84E-05,1.96E-04,9.83E-07,7.55E-05,2.44E-04,3.41E-06,1.71E-04,3.46E-04,1.51E-06,1.42E-04,3.17E-04,8.59E-06,3.24E-04,4.56E-04,1.05E-05,4.93E-04,6.81E-04,4.97E-04,,,,,,
653(nm),,,,3.49E-06,1.61E-04,3.16E-04,9.46E-07,4.72E-05,1.92E-04,9.64E-07,7.43E-05,2.39E-04,3.34E-06,1.68E-04,3.41E-04,1.47E-06,1.39E-04,3.11E-04,8.46E-06,3.17E-04,4.47E-04,1.03E-05,4.83E-04,6.66E-04,4.89E-04,,,,,,
654(nm),,,,3.41E-06,1.58E-04,3.10E-04,9.26E-07,4.64E-05,1.88E-04,9.46E-07,7.28E-05,2.34E-04,3.28E-06,1.65E-04,3.33E-04,1.46E-06,1.38E-04,3.04E-04,8.31E-06,3.12E-04,4.41E-04,1.01E-05,4.73E-04,6.53E-04,4.77E-04,,,,,,
655(nm),,,,3.35E-06,1.54E-04,3.05E-04,9.04E-07,4.58E-05,1.85E-04,9.34E-07,7.15E-05,2.30E-04,3.22E-06,1.61E-04,3.26E-04,1.40E-06,1.34E-04,2.96E-04,8.10E-06,3.04E-04,4.33E-04,9.95E-06,4.65E-04,6.41E-04,4.67E-04,,,,,,
656(nm),,,,3.28E-06,1.51E-04,2.98E-04,8.87E-07,4.46E-05,1.81E-04,9.12E-07,7.06E-05,2.25E-04,3.15E-06,1.58E-04,3.20E-04,1.41E-06,1.32E-04,2.92E-04,7.97E-06,3.00E-04,4.24E-04,9.70E-06,4.55E-04,6.29E-04,4.59E-04,,,,,,
657(nm),,,,3.22E-06,1.48E-04,2.93E-04,8.67E-07,4.36E-05,1.77E-04,8.89E-07,6.90E-05,2.21E-04,3.08E-06,1.55E-04,3.13E-04,1.38E-06,1.29E-04,2.87E-04,7.84E-06,2.93E-04,4.15E-04,9.50E-06,4.46E-04,6.15E-04,4.50E-04,,,,,,
658(nm),,,,3.13E-06,1.45E-04,2.86E-04,8.53E-07,4.28E-05,1.73E-04,8.73E-07,6.72E-05,2.16E-04,3.01E-06,1.52E-04,3.08E-04,1.35E-06,1.27E-04,2.79E-04,7.65E-06,2.87E-04,4.05E-04,9.30E-06,4.36E-04,6.01E-04,4.40E-04,,,,,,
659(nm),,,,3.07E-06,1.42E-04,2.80E-04,8.33E-07,4.18E-05,1.69E-04,8.59E-07,6.55E-05,2.11E-04,2.95E-06,1.48E-04,3.00E-04,1.33E-06,1.24E-04,2.73E-04,7.49E-06,2.81E-04,3.97E-04,9.11E-06,4.26E-04,5.88E-04,4.32E-04,,,,,,
660(nm),,,,3.01E-06,1.39E-04,2.74E-04,8.19E-07,4.07E-05,1.66E-04,8.38E-07,6.41E-05,2.07E-04,2.89E-06,1.45E-04,2.93E-04,1.31E-06,1.21E-04,2.69E-04,7.28E-06,2.75E-04,3.88E-04,8.91E-06,4.16E-04,5.77E-04,4.21E-04,,,,,,
661(nm),,,,2.95E-06,1.36E-04,2.70E-04,7.94E-07,3.99E-05,1.63E-04,8.11E-07,6.28E-05,2.01E-04,2.81E-06,1.42E-04,2.87E-04,1.28E-06,1.18E-04,2.64E-04,7.14E-06,2.68E-04,3.78E-04,8.68E-06,4.07E-04,5.62E-04,4.13E-04,,,,,,
662(nm),,,,2.88E-06,1.33E-04,2.63E-04,7.80E-07,3.95E-05,1.59E-04,7.95E-07,6.17E-05,1.97E-04,2.76E-06,1.39E-04,2.80E-04,1.23E-06,1.16E-04,2.55E-04,7.01E-06,2.63E-04,3.71E-04,8.51E-06,3.98E-04,5.48E-04,4.01E-04,,,,,,
663(nm),,,,2.81E-06,1.30E-04,2.57E-04,7.62E-07,3.82E-05,1.55E-04,7.74E-07,6.01E-05,1.94E-04,2.69E-06,1.35E-04,2.73E-04,1.25E-06,1.13E-04,2.52E-04,6.82E-06,2.56E-04,3.62E-04,8.29E-06,3.88E-04,5.38E-04,3.93E-04,,,,,,
664(nm),,,,2.74E-06,1.27E-04,2.50E-04,7.39E-07,3.73E-05,1.52E-04,7.65E-07,5.88E-05,1.89E-04,2.63E-06,1.32E-04,2.68E-04,1.21E-06,1.12E-04,2.46E-04,6.66E-06,2.51E-04,3.53E-04,8.10E-06,3.79E-04,5.24E-04,3.85E-04,,,,,,
665(nm),,,,2.67E-06,1.24E-04,2.44E-04,7.24E-07,3.66E-05,1.48E-04,7.49E-07,5.75E-05,1.86E-04,2.57E-06,1.29E-04,2.61E-04,1.18E-06,1.10E-04,2.41E-04,6.51E-06,2.47E-04,3.47E-04,7.92E-06,3.70E-04,5.12E-04,3.76E-04,,,,,,
666(nm),,,,2.62E-06,1.21E-04,2.39E-04,7.07E-07,3.58E-05,1.44E-04,7.34E-07,5.62E-05,1.81E-04,2.52E-06,1.26E-04,2.55E-04,1.16E-06,1.07E-04,2.34E-04,6.38E-06,2.40E-04,3.40E-04,7.74E-06,3.62E-04,5.01E-04,3.67E-04,,,,,,
667(nm),,,,2.56E-06,1.18E-04,2.33E-04,6.93E-07,3.49E-05,1.41E-04,7.14E-07,5.50E-05,1.76E-04,2.46E-06,1.23E-04,2.50E-04,1.15E-06,1.05E-04,2.29E-04,6.26E-06,2.33E-04,3.30E-04,7.56E-06,3.53E-04,4.89E-04,3.59E-04,,,,,,
668(nm),,,,2.50E-06,1.15E-04,2.28E-04,6.80E-07,3.39E-05,1.38E-04,6.99E-07,5.38E-05,1.73E-04,2.39E-06,1.20E-04,2.44E-04,1.11E-06,1.01E-04,2.23E-04,6.11E-06,2.28E-04,3.24E-04,7.39E-06,3.45E-04,4.78E-04,3.52E-04,,,,,,
669(nm),,,,2.44E-06,1.13E-04,2.23E-04,6.57E-07,3.33E-05,1.35E-04,6.84E-07,5.26E-05,1.69E-04,2.34E-06,1.17E-04,2.37E-04,1.07E-06,1.01E-04,2.18E-04,5.95E-06,2.23E-04,3.16E-04,7.23E-06,3.37E-04,4.65E-04,3.42E-04,,,,,,
670(nm),,,,2.38E-06,1.10E-04,2.17E-04,6.44E-07,3.27E-05,1.31E-04,6.70E-07,5.17E-05,1.64E-04,2.28E-06,1.14E-04,2.33E-04,1.05E-06,9.75E-05,2.13E-04,5.81E-06,2.18E-04,3.07E-04,7.04E-06,3.29E-04,4.54E-04,3.32E-04,,,,,,
671(nm),,,,2.33E-06,1.07E-04,2.12E-04,6.33E-07,3.18E-05,1.29E-04,6.55E-07,5.02E-05,1.61E-04,2.23E-06,1.12E-04,2.28E-04,1.02E-06,9.51E-05,2.09E-04,5.64E-06,2.14E-04,2.99E-04,6.85E-06,3.21E-04,4.44E-04,3.26E-04,,,,,,
672(nm),,,,2.28E-06,1.05E-04,2.07E-04,6.17E-07,3.12E-05,1.26E-04,6.41E-07,4.91E-05,1.57E-04,2.17E-06,1.09E-04,2.21E-04,1.02E-06,9.26E-05,2.03E-04,5.52E-06,2.07E-04,2.92E-04,6.69E-06,3.13E-04,4.32E-04,3.17E-04,,,,,,
673(nm),,,,2.20E-06,1.02E-04,2.01E-04,6.07E-07,3.03E-05,1.23E-04,6.22E-07,4.81E-05,1.53E-04,2.12E-06,1.06E-04,2.16E-04,9.82E-07,9.00E-05,1.98E-04,5.40E-06,2.03E-04,2.85E-04,6.53E-06,3.06E-04,4.21E-04,3.11E-04,,,,,,
674(nm),,,,2.15E-06,1.00E-04,1.96E-04,5.90E-07,2.97E-05,1.20E-04,6.08E-07,4.68E-05,1.49E-04,2.08E-06,1.04E-04,2.11E-04,9.65E-07,8.94E-05,1.94E-04,5.24E-06,1.97E-04,2.80E-04,6.39E-06,2.99E-04,4.12E-04,3.04E-04,,,,,,
675(nm),,,,2.11E-06,9.76E-05,1.92E-04,5.79E-07,2.90E-05,1.17E-04,5.93E-07,4.58E-05,1.46E-04,2.03E-06,1.01E-04,2.06E-04,9.52E-07,8.69E-05,1.89E-04,5.14E-06,1.93E-04,2.73E-04,6.23E-06,2.92E-04,4.03E-04,2.96E-04,,,,,,
676(nm),,,,2.06E-06,9.51E-05,1.88E-04,5.65E-07,2.84E-05,1.14E-04,5.85E-07,4.50E-05,1.42E-04,1.98E-06,9.90E-05,2.01E-04,9.42E-07,8.50E-05,1.85E-04,5.01E-06,1.88E-04,2.66E-04,6.08E-06,2.85E-04,3.93E-04,2.89E-04,,,,,,
677(nm),,,,2.02E-06,9.26E-05,1.83E-04,5.51E-07,2.79E-05,1.12E-04,5.74E-07,4.37E-05,1.39E-04,1.94E-06,9.69E-05,1.97E-04,9.20E-07,8.27E-05,1.80E-04,4.91E-06,1.83E-04,2.58E-04,5.93E-06,2.77E-04,3.83E-04,2.82E-04,,,,,,
678(nm),,,,1.98E-06,9.10E-05,1.79E-04,5.39E-07,2.69E-05,1.09E-04,5.53E-07,4.27E-05,1.36E-04,1.89E-06,9.46E-05,1.92E-04,9.07E-07,8.03E-05,1.75E-04,4.78E-06,1.79E-04,2.54E-04,5.80E-06,2.71E-04,3.74E-04,2.76E-04,,,,,,
679(nm),,,,1.92E-06,8.88E-05,1.75E-04,5.28E-07,2.62E-05,1.06E-04,5.41E-07,4.18E-05,1.34E-04,1.85E-06,9.19E-05,1.87E-04,8.62E-07,7.85E-05,1.71E-04,4.69E-06,1.75E-04,2.47E-04,5.66E-06,2.64E-04,3.66E-04,2.68E-04,,,,,,
680(nm),,,,1.88E-06,8.70E-05,1.71E-04,5.21E-07,2.59E-05,1.04E-04,5.44E-07,4.09E-05,1.28E-04,1.80E-06,9.00E-05,1.83E-04,8.77E-07,7.70E-05,1.68E-04,4.59E-06,1.71E-04,2.42E-04,5.54E-06,2.59E-04,3.58E-04,2.64E-04,,,,,,
681(nm),,,,1.84E-06,8.47E-05,1.67E-04,5.09E-07,2.53E-05,1.01E-04,5.18E-07,3.94E-05,1.26E-04,1.77E-06,8.81E-05,1.79E-04,8.23E-07,7.55E-05,1.64E-04,4.47E-06,1.65E-04,2.35E-04,5.40E-06,2.52E-04,3.47E-04,2.58E-04,,,,,,
682(nm),,,,1.80E-06,8.23E-05,1.63E-04,4.98E-07,2.49E-05,9.95E-05,5.13E-07,3.89E-05,1.23E-04,1.73E-06,8.62E-05,1.74E-04,8.29E-07,7.39E-05,1.59E-04,4.34E-06,1.64E-04,2.31E-04,5.28E-06,2.46E-04,3.39E-04,2.51E-04,,,,,,
683(nm),,,,1.76E-06,8.07E-05,1.60E-04,4.90E-07,2.43E-05,9.68E-05,5.08E-07,3.81E-05,1.21E-04,1.69E-06,8.41E-05,1.70E-04,8.01E-07,7.26E-05,1.56E-04,4.23E-06,1.59E-04,2.25E-04,5.13E-06,2.40E-04,3.31E-04,2.44E-04,,,,,,
684(nm),,,,1.71E-06,7.89E-05,1.55E-04,4.78E-07,2.36E-05,9.47E-05,4.99E-07,3.73E-05,1.18E-04,1.65E-06,8.20E-05,1.66E-04,7.92E-07,7.06E-05,1.52E-04,4.17E-06,1.54E-04,2.20E-04,5.00E-06,2.33E-04,3.23E-04,2.39E-04,,,,,,
685(nm),,,,1.67E-06,7.70E-05,1.51E-04,4.66E-07,2.30E-05,9.27E-05,4.89E-07,3.63E-05,1.16E-04,1.61E-06,7.96E-05,1.62E-04,7.67E-07,6.89E-05,1.50E-04,4.06E-06,1.51E-04,2.15E-04,4.88E-06,2.27E-04,3.15E-04,2.34E-04,,,,,,
686(nm),,,,1.64E-06,7.50E-05,1.48E-04,4.55E-07,2.27E-05,9.03E-05,4.78E-07,3.55E-05,1.12E-04,1.56E-06,7.76E-05,1.58E-04,7.45E-07,6.70E-05,1.47E-04,3.93E-06,1.47E-04,2.09E-04,4.78E-06,2.22E-04,3.07E-04,2.28E-04,,,,,,
687(nm),,,,1.59E-06,7.28E-05,1.44E-04,4.46E-07,2.23E-05,8.81E-05,4.64E-07,3.48E-05,1.10E-04,1.53E-06,7.61E-05,1.54E-04,7.47E-07,6.63E-05,1.42E-04,3.84E-06,1.42E-04,2.04E-04,4.64E-06,2.16E-04,2.99E-04,2.21E-04,,,,,,
688(nm),,,,1.56E-06,7.17E-05,1.40E-04,4.39E-07,2.19E-05,8.58E-05,4.60E-07,3.38E-05,1.06E-04,1.50E-06,7.40E-05,1.50E-04,7.38E-07,6.38E-05,1.38E-04,3.77E-06,1.41E-04,2.00E-04,4.53E-06,2.11E-04,2.93E-04,2.16E-04,,,,,,
689(nm),,,,1.54E-06,7.02E-05,1.39E-04,4.33E-07,2.15E-05,8.49E-05,4.54E-07,3.35E-05,1.05E-04,1.47E-06,7.30E-05,1.48E-04,7.27E-07,6.21E-05,1.37E-04,3.71E-06,1.38E-04,1.96E-04,4.45E-06,2.07E-04,2.87E-04,2.13E-04,,,,,,
690(nm),,,,1.52E-06,6.98E-05,1.38E-04,4.37E-07,2.13E-05,8.45E-05,4.53E-07,3.36E-05,1.06E-04,1.46E-06,7.28E-05,1.47E-04,7.22E-07,6.26E-05,1.35E-04,3.68E-06,1.37E-04,1.95E-04,4.44E-06,2.06E-04,2.85E-04,2.12E-04,,,,,,
